pollutant,revoked_naaqs,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1992,pw_1993,pw_1994,pw_1995,pw_1996,pw_1997,pw_1998,pw_1999,pw_2000,pw_2001,pw_2002,pw_2003,pw_2004,pw_2005,pw_2006,pw_2007,pw_2008,pw_2009,pw_2010,pw_2011,pw_2012,pw_2013,pw_2014,pw_2015,pw_2016,pw_2017,pw_2018,pw_2019,pw_2020,pw_2021,pw_2022,exportdt
PM-2.5 (1997),,MONTANA,MT,30,53,Lincoln Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Carbon Monoxide (1971),,MONTANA,MT,30,63,Missoula Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,MONTANA,MT,30,63,Missoula Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,2022/4/30
PM-10 (1987),,MONTANA,MT,30,87,Rosebud Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,MONTANA,MT,30,89,Sanders Co,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,MONTANA,MT,30,93,Silver Bow Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,2022/4/30
Carbon Monoxide (1971),,MONTANA,MT,30,111,Yellowstone Co,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,MONTANA,MT,30,111,Yellowstone Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (2010),,MONTANA,MT,30,111,Yellowstone Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,25,Cabarrus Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,25,Cabarrus Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,2022/4/30
PM-2.5 (1997),,NORTH CAROLINA,NC,37,35,Catawba Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,37,Chatham Co,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,57,Davidson Co,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NORTH CAROLINA,NC,37,57,Davidson Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,59,Davie Co,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,63,Durham Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,63,Durham Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,63,Durham Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,65,Edgecombe Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,67,Forsyth Co,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,67,Forsyth Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,69,Franklin Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,71,Gaston Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,71,Gaston Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,71,Gaston Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,77,Granville Co,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,77,Granville Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,81,Guilford Co,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NORTH CAROLINA,NC,37,81,Guilford Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,87,Haywood Co,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,97,Iredell Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,97,Iredell Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,101,Johnston Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,109,Lincoln Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,109,Lincoln Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,119,Mecklenburg Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,119,Mecklenburg Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,119,Mecklenburg Co,,,,,,,,,,,,,,,,,,,,,W,W,W,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,119,Mecklenburg Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,127,Nash Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,135,Orange Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,145,Person Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,159,Rowan Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,159,Rowan Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,173,Swain Co,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,179,Union Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,179,Union Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,183,Wake Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,183,Wake Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,183,Wake Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Lead (1978),,NEBRASKA,NE,31,55,Douglas Co,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,5,Cheshire Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,11,Hillsborough Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,11,Hillsborough Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,NEW HAMPSHIRE,NH,33,11,Hillsborough Co,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,NEW HAMPSHIRE,NH,33,11,Hillsborough Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,13,Merrimack Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,13,Merrimack Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,NEW HAMPSHIRE,NH,33,13,Merrimack Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,15,Rockingham Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,15,Rockingham Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,NEW HAMPSHIRE,NH,33,15,Rockingham Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,17,Strafford Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,17,Strafford Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,1,Atlantic Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,1,Atlantic Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,1,Atlantic Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,1,Atlantic Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,1,Atlantic Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,3,Bergen Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,3,Bergen Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,3,Bergen Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,3,Bergen Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,3,Bergen Co,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,3,Bergen Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,3,Bergen Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,5,Burlington Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,5,Burlington Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,5,Burlington Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,5,Burlington Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,5,Burlington Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,5,Burlington Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,5,Burlington Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,7,Camden Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,7,Camden Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,7,Camden Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,7,Camden Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,7,Camden Co,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,7,Camden Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,7,Camden Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,9,Cape May Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,9,Cape May Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,9,Cape May Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,9,Cape May Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,11,Cumberland Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,11,Cumberland Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,11,Cumberland Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,11,Cumberland Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,13,Essex Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,13,Essex Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,13,Essex Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,13,Essex Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,13,Essex Co,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,13,Essex Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,13,Essex Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,15,Gloucester Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,15,Gloucester Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,15,Gloucester Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,15,Gloucester Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,15,Gloucester Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,15,Gloucester Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,17,Hudson Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,17,Hudson Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,17,Hudson Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,17,Hudson Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,17,Hudson Co,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,17,Hudson Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,17,Hudson Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,19,Hunterdon Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,19,Hunterdon Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,19,Hunterdon Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,19,Hunterdon Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,21,Mercer Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,21,Mercer Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,21,Mercer Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,21,Mercer Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,21,Mercer Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,21,Mercer Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,21,Mercer Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,23,Middlesex Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,23,Middlesex Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,23,Middlesex Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,23,Middlesex Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,23,Middlesex Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,23,Middlesex Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,23,Middlesex Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,25,Monmouth Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,25,Monmouth Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,25,Monmouth Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,25,Monmouth Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,25,Monmouth Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,25,Monmouth Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,25,Monmouth Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,27,Morris Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,27,Morris Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,27,Morris Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,27,Morris Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,27,Morris Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,NEW JERSEY,NJ,34,27,Morris Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,NEW JERSEY,NJ,34,27,Morris Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,29,Ocean Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,29,Ocean Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,29,Ocean Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,29,Ocean Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,29,Ocean Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,31,Passaic Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,31,Passaic Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,31,Passaic Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
