month,day,hour,WD,WS
3,25,2.0,100.0,2.6
3,25,4.0,100.0,2.1
3,26,2.0,130.0,1.5
3,26,5.0,110.0,1.5
3,26,6.0,100.0,1.5
3,26,7.0,120.0,1.5
3,26,8.0,120.0,2.1
3,26,10.0,110.0,1.5
3,26,11.0,120.0,1.5
3,26,12.0,110.0,2.1
3,26,13.0,110.0,1.5
3,26,15.0,120.0,2.1
3,26,17.0,110.0,1.5
3,26,18.0,110.0,2.1
3,26,19.0,110.0,2.6
3,26,20.0,120.0,3.1
3,26,21.0,120.0,1.5
3,26,22.0,130.0,3.1
3,26,23.0,120.0,2.1
3,27,1.0,110.0,2.1
3,27,2.0,100.0,1.5
3,27,5.0,80.0,1.5
3,27,23.0,300.0,3.6
3,28,6.0,300.0,3.1
3,28,9.0,340.0,4.1
3,28,13.0,320.0,3.6
3,28,15.0,330.0,3.1
3,28,16.0,310.0,3.6
3,28,18.0,300.0,6.2
3,28,19.0,300.0,5.7
3,28,20.0,330.0,4.6
3,28,21.0,300.0,4.1
3,28,22.0,300.0,4.1
3,28,23.0,310.0,4.6
3,29,3.0,40.0,1.5
3,29,7.0,50.0,2.1
3,29,8.0,50.0,1.5
3,29,11.0,50.0,1.5
3,29,15.0,60.0,1.5
3,29,17.0,240.0,1.5
3,29,20.0,80.0,2.6
3,30,10.0,10.0,5.1
3,30,11.0,350.0,5.7
3,30,12.0,350.0,5.1
3,30,13.0,350.0,3.6
3,30,14.0,340.0,4.6
3,30,23.0,360.0,4.6
3,31,1.0,330.0,4.6
3,31,3.0,350.0,4.6
3,31,4.0,350.0,4.6
3,31,5.0,340.0,4.6
3,31,6.0,330.0,6.7
3,31,7.0,330.0,4.1
3,31,8.0,330.0,3.6
3,31,9.0,330.0,4.1
3,31,16.0,50.0,4.6
3,31,17.0,40.0,4.1
3,31,20.0,320.0,4.6
3,31,21.0,330.0,3.6
3,31,22.0,300.0,3.6
3,31,23.0,330.0,4.1
4,1,6.0,40.0,3.6
4,1,7.0,40.0,2.6
4,1,8.0,30.0,2.1
4,1,9.0,40.0,4.1
4,1,10.0,30.0,2.6
4,1,12.0,30.0,3.6
4,1,20.0,310.0,4.1
4,1,22.0,310.0,4.1
4,1,23.0,320.0,4.6
4,2,1.0,310.0,3.6
4,2,3.0,340.0,4.1
4,2,6.0,330.0,3.6
4,2,8.0,340.0,5.7
4,2,9.0,340.0,4.1
4,2,11.0,320.0,3.6
4,2,12.0,320.0,4.6
4,2,13.0,340.0,4.1
4,2,18.0,340.0,4.1
4,2,19.0,350.0,4.1
4,2,20.0,320.0,4.1
4,2,21.0,330.0,3.6
4,2,22.0,310.0,3.6
4,2,23.0,360.0,4.1
4,3,2.0,320.0,4.6
4,3,3.0,300.0,3.1
4,3,4.0,310.0,4.1
4,3,6.0,320.0,4.6
4,3,8.0,310.0,3.6
4,3,9.0,310.0,3.6
4,3,10.0,300.0,3.1
4,3,11.0,300.0,4.6
4,3,14.0,360.0,3.6
4,3,15.0,50.0,3.6
4,3,17.0,40.0,4.1
4,4,6.0,350.0,1.5
4,4,10.0,90.0,2.1
4,4,11.0,100.0,1.5
4,4,21.0,90.0,1.5
4,5,1.0,130.0,1.5
4,5,2.0,130.0,2.1
4,5,3.0,110.0,1.5
4,5,4.0,110.0,1.5
4,5,20.0,130.0,2.6
4,6,8.0,100.0,2.6
4,6,10.0,100.0,3.6
4,6,17.0,150.0,1.5
4,6,20.0,130.0,2.6
4,6,21.0,120.0,2.6
4,6,23.0,90.0,4.6
4,7,1.0,120.0,2.6
4,7,5.0,120.0,2.6
4,7,6.0,130.0,2.6
4,7,10.0,140.0,2.6
4,8,4.0,290.0,1.5
4,8,16.0,250.0,1.5
4,9,18.0,120.0,2.6
4,10,2.0,130.0,2.6
4,10,3.0,130.0,1.5
4,10,4.0,130.0,1.5
4,10,5.0,110.0,2.6
4,10,9.0,100.0,1.5
4,10,18.0,130.0,1.5
4,10,20.0,120.0,2.1
4,11,3.0,100.0,2.1
4,11,17.0,140.0,2.1
4,11,18.0,130.0,2.1
4,11,19.0,140.0,1.5
4,11,23.0,120.0,2.6
